序号,完整音频,单句音频,句子文本,开始时间,结束时间
0,18sn1-9.mp3,../18sn/1-10.mp3,第一集,4.52,5.45
1,18sn1-9.mp3,../18sn/1-30.mp3,有声音像叮咚的泉水一样从车厢的喇叭里流出，从正倚着车厢连接处的万帆头脑上流过，同时又像一个手掌一样一巴掌把他从半睡半醒的状态中拍醒过来。,7.72,23.17
2,18sn1-9.mp3,../18sn/1-40.mp3,从申阳上车开始他就靠在这个地方，像一匹不知疲倦的马。,24.24,29.67
3,18sn1-9.mp3,../18sn/1-50.mp3,已经不知道站了多长时间了，不知不觉大脑就像一个瞎眼侠客进入了浆糊世界。,30.2,37.46
4,18sn1-9.mp3,../18sn/1-60.mp3,虽然他像马一样站着还闭着眼睛，但他毕竟不是真马不会站着睡觉，只是实在困乏闭了一会儿眼睛。。,38.49,48.42
5,18sn1-9.mp3,../18sn/1-70.mp3,北代河！万帆的两手抱在胸前举起来搓搓脸，然后才开始分析这个名词。,50.0,57.26
6,18sn1-9.mp3,../18sn/1-80.mp3,前方到站是北代河！,58.21,60.82
7,18sn1-9.mp3,../18sn/1-90.mp3,不出意外的话，好像国内就一个北代河，传说中的避暑胜地，每到夏天北代河都是游人如织。,61.4,71.03
8,18sn1-9.mp3,../18sn/1-100.mp3,但是一个问题在万帆的脑海里萦绕：为毛我会在北代河？是睡糊涂了还是吃饱了撑的会出现在通向北代河的路上？,71.6,83.43
9,18sn1-9.mp3,../18sn/1-110.mp3,耗死了几百亿个脑细胞他也想不明白自己为什么会和北代河发生联系，这辈子他就没和北代河有过一点关系。,84.77,96.16
10,18sn1-9.mp3,../18sn/1-120.mp3,不对！也不能说一点没有，年轻的时候他到首都去参加过一次笔会，曾经中途经过北代河。,96.99,106.9
11,18sn1-9.mp3,../18sn/1-130.mp3,这个想法一出现，他就感觉脑袋上空好像凭空劈出了一道闪电，把他劈得眼前一黑。,107.69,114.74
12,18sn1-9.mp3,../18sn/1-140.mp3,回忆受到闪电的刺激纷纷从旮旯里跑出来，在他的脑海里展现出一幅让他知道自己的谁的画面。,115.71,124.17
13,18sn1-9.mp3,../18sn/1-150.mp3,当他把这幅画面从头至尾地欣赏了一遍，终于弄清楚自己是何许人了，为什么会出现在通向北代河的列车上。,125.04,135.84
14,18sn1-9.mp3,../18sn/1-160.mp3,他是一个扑街的网络写手，那种一个月赚几千块钱的苦比，靠在网络上写小说赚一点微薄的稿费养活家人。,136.62,147.33
